거래ID,시간,카드,사람,장소,주소1,주소2
9642,2020.8.2 8:01:7,CardA,P1,몽탄,서울 용산구 한강로1가 252-1,서울 용산구 백범로99길 50
5645,2020.8.6 9:59:20,CardA,P2,어글리베이커리,서울 마포구 망원동 400-1,서울 마포구 월드컵로13길 73
5537,2020.8.9 10:30:22,CardB,P3,또순이네,서울 영등포구 양평동4가 81,서울 영등포구 선유로47길 16
1628,2020.8.7 4:33:12,CardC,P4,소금집델리 망원,서울 마포구 망원동 57-38,서울 마포구 월드컵로19길 14
9642,2020.8.4 8:01:7,CardC,P1,몽탄,서울 용산구 한강로1가 252-1,서울 용산구 백범로99길 50
5645,2020.8.3 9:59:20,CardB,P2,어글리베이커리,서울 마포구 망원동 400-1,서울 마포구 월드컵로13길 73
5537,2020.8.5 10:30:22,CardC,P3,또순이네,서울 영등포구 양평동4가 81,서울 영등포구 선유로47길 16
1628,2020.8.6 4:33:12,CardA,P4,소금집델리 망원,서울 마포구 망원동 57-38,서울 마포구 월드컵로19길 14
9642,2020.8.10 8:01:7,CardC,P1,몽탄,서울 용산구 한강로1가 252-1,서울 용산구 백범로99길 50
5645,2020.8.10 9:59:20,CardB,P2,어글리베이커리,서울 마포구 망원동 400-1,서울 마포구 월드컵로13길 73
5537,2020.8.10 10:30:22,CardC,P3,또순이네,서울 영등포구 양평동4가 81,서울 영등포구 선유로47길 16
1628,2020.8.10 4:33:12,CardA,P4,소금집델리 망원,서울 마포구 망원동 57-38,서울 마포구 월드컵로19길 14
9642,2020.8.11 8:01:7,CardC,P1,몽탄,서울 용산구 한강로1가 252-1,서울 용산구 백범로99길 50
5645,2020.8.11 9:59:20,CardB,P2,어글리베이커리,서울 마포구 망원동 400-1,서울 마포구 월드컵로13길 73
5537,2020.8.11 10:30:22,CardC,P3,또순이네,서울 영등포구 양평동4가 81,서울 영등포구 선유로47길 16
1628,2020.8.11 4:33:12,CardA,P4,소금집델리 망원,서울 마포구 망원동 57-38,서울 마포구 월드컵로19길 14
9642,2020.8.12 8:01:7,CardC,P1,몽탄,서울 용산구 한강로1가 252-1,서울 용산구 백범로99길 50
5645,2020.8.12 9:59:20,CardB,P2,어글리베이커리,서울 마포구 망원동 400-1,서울 마포구 월드컵로13길 73
5537,2020.8.12 10:30:22,CardC,P3,또순이네,서울 영등포구 양평동4가 81,서울 영등포구 선유로47길 16
1628,2020.8.12 4:33:12,CardA,P4,소금집델리 망원,서울 마포구 망원동 57-38,서울 마포구 월드컵로19길 14
